row,title,cleaned_title,url,domain,doi_enriched,lookup_status,doi_confidence,best_candidate_doi,best_candidate_provider,best_candidate_similarity,best_candidate_title,best_candidate_url,errors
24,共和花岗岩在实时高温下的力学损伤和蠕变特性试验研究 - ScienceDirect,共和花岗岩在实时高温下的力学损伤和蠕变特性试验研究,https://www.sciencedirect.com/science/article/pii/S0375650524001871?via%3Dihub,www.sciencedirect.com,10.1016/j.geothermics.2024.103100,found,high,10.1016/j.geothermics.2024.103100,crossref_pii,1.000,Experimental study on mechanical damage and creep characteristics of Gonghe granite under real-time high temperature,https://doi.org/10.1016/j.geothermics.2024.103100,
25,高温高压超临界水条件下花岗岩损伤的实验研究 - ScienceDirect,高温高压超临界水条件下花岗岩损伤的实验研究,https://www.sciencedirect.com/science/article/pii/S0920410519304851,www.sciencedirect.com,10.1016/j.petrol.2019.05.031,found,high,10.1016/j.petrol.2019.05.031,crossref_pii,1.000,Experiment investigation of granite damage under the high-temperature and high-pressure supercritical water condition,https://doi.org/10.1016/j.petrol.2019.05.031,
26,单轴压缩作用下花岗岩的温度依赖性声发射特性及统计本构模型 - ScienceDirect,单轴压缩作用下花岗岩的温度依赖性声发射特性及统计本构模型,https://www.sciencedirect.com/science/article/pii/S1674775524003664,www.sciencedirect.com,10.1016/j.jrmge.2024.05.033,found,high,10.1016/j.jrmge.2024.05.033,crossref_pii,0.924,Temperature-dependent acoustic emission characteristics and statistical constitutive model of granite under uniaxial compression,https://doi.org/10.1016/j.jrmge.2024.05.033,
27,高温花岗岩和热处理花岗岩的机械性能比较 - ScienceDirect,高温花岗岩和热处理花岗岩的机械性能比较,https://www.sciencedirect.com/science/article/pii/S100363261664311X?via%3Dihub,www.sciencedirect.com,10.1016/s1003-6326(16)64311-x,found,high,10.1016/s1003-6326(16)64311-x,crossref_pii,1.000,Comparison of mechanical properties in high temperature and thermal treatment granite,https://doi.org/10.1016/s1003-6326(16)64311-x,
30,Influence of Real-Time Heating on Mechanical Behaviours of Rocks (hindawi.com),Influence of Real-Time Heating on Mechanical Behaviours of Rocks,https://www.hindawi.com/journals/ace/2020/8879922/,www.hindawi.com,10.1155/2020/8879922,found,high,10.1155/2020/8879922,crossref,1.000,Influence of Real‐Time Heating on Mechanical Behaviours of Rocks,https://doi.org/10.1155/2020/8879922,
33,The effect of high temperature on tensile strength of sandstone - ScienceDirect,The effect of high temperature on tensile strength of sandstone,https://www.sciencedirect.com/science/article/pii/S1359431116319524,www.sciencedirect.com,10.1016/j.applthermaleng.2016.09.151,found,high,10.1016/j.applthermaleng.2016.09.151,crossref,1.000,The effect of high temperature on tensile strength of sandstone,https://doi.org/10.1016/j.applthermaleng.2016.09.151,
35,Applied Sciences | Free Full-Text | Physical and Mechanical Properties and Damage Mechanism of Sandstone at High Temperatures (mdpi.com),Applied Sciences,https://www.mdpi.com/2076-3417/14/1/444,www.mdpi.com,10.3138/9781487586003-007,found,high,10.3138/9781487586003-007,crossref,1.000,APPLIED SCIENCES,https://doi.org/10.3138/9781487586003-007,
36,Investigation of high-temperature effects on the strengthening and degradation of mechanical property in sandstone - ScienceDirect,Investigation of high-temperature effects on the strengthening and degradation of mechanical property in sandstone,https://www.sciencedirect.com/science/article/pii/S0306261923018962,www.sciencedirect.com,10.1016/j.apenergy.2023.122532,found,high,10.1016/j.apenergy.2023.122532,crossref_pii,1.000,Investigation of high-temperature effects on the strengthening and degradation of mechanical property in sandstone,https://doi.org/10.1016/j.apenergy.2023.122532,
37,Changes in mechanical properties and fracture behaviors of heated marble subjected to liquid nitrogen cooling - ScienceDirect,Changes in mechanical properties and fracture behaviors of heated marble subjected to liquid nitrogen cooling,https://www.sciencedirect.com/science/article/pii/S0013794422000236?via%3Dihub,www.sciencedirect.com,10.1016/j.engfracmech.2022.108256,found,high,10.1016/j.engfracmech.2022.108256,crossref_pii,1.000,Changes in mechanical properties and fracture behaviors of heated marble subjected to liquid nitrogen cooling,https://doi.org/10.1016/j.engfracmech.2022.108256,
40,Cryogenic quenching of rock using liquid nitrogen as a coolant: Investigation of surface effects - ScienceDirect,Cryogenic quenching of rock using liquid nitrogen as a coolant: Investigation of surface effects,https://www.sciencedirect.com/science/article/pii/S0017931017325954,www.sciencedirect.com,10.1016/j.ijheatmasstransfer.2017.11.123,found,high,10.1016/j.ijheatmasstransfer.2017.11.123,crossref,1.000,Cryogenic quenching of rock using liquid nitrogen as a coolant: Investigation of surface effects,https://doi.org/10.1016/j.ijheatmasstransfer.2017.11.123,
41,Regulated transient pool boiling of water during quenching on nanostructured surfaces with modified wettability from superhydrophilic to superhydrophobic - ScienceDirect,Regulated transient pool boiling of water during quenching on nanostructured surfaces with modified wettability from superhydrophilic to superhydrophobic,https://www.sciencedirect.com/science/article/pii/S0017931014003305,www.sciencedirect.com,10.1016/j.ijheatmasstransfer.2014.04.025,found,high,10.1016/j.ijheatmasstransfer.2014.04.025,crossref,1.000,Regulated transient pool boiling of water during quenching on nanostructured surfaces with modified wettability from superhydrophilic to superhydrophobic,https://doi.org/10.1016/j.ijheatmasstransfer.2014.04.025,
42,Waterless fracturing technologies for unconventional reservoirs-opportunities for liquid nitrogen - ScienceDirect,Waterless fracturing technologies for unconventional reservoirs-opportunities for liquid nitrogen,https://www.sciencedirect.com/science/article/pii/S1875510016305996,www.sciencedirect.com,10.1016/j.jngse.2016.08.052,found,high,10.1016/j.jngse.2016.08.052,crossref,1.000,Waterless fracturing technologies for unconventional reservoirs-opportunities for liquid nitrogen,https://doi.org/10.1016/j.jngse.2016.08.052,
43,液氮超低温诱导岩石类材料裂缝形成机制研究 (whrsm.ac.cn),液氮超低温诱导岩石类材料裂缝形成机制研究 (whrsm.ac.cn),http://rockmech.whrsm.ac.cn/CN/abstract/abstract31955.shtml,rockmech.whrsm.ac.cn,,unresolved,none,10.3788/cjl250984,crossref,0.320,金属铁颗粒诱导周期性结构形成机制研究,https://doi.org/10.3788/cjl250984,
45,https://www.sciencedirect.com/science/article/pii/S0960148121011435?via%3Dihub#bib46,https://www.sciencedirect.com/science/article/pii/S0960148121011435?via%3Dihub#bib46,https://www.sciencedirect.com/science/article/pii/S0960148121011435?via%3Dihub,www.sciencedirect.com,10.1016/j.renene.2021.07.132,found,high,10.1016/j.renene.2021.07.132,crossref_pii,1.000,Experimental study on the physical and mechanical variations of hot granite under different cooling treatments,https://doi.org/10.1016/j.renene.2021.07.132,
46,热损伤环面花岗岩失效模式的尺寸效应 - ScienceDirect,热损伤环面花岗岩失效模式的尺寸效应,https://www.sciencedirect.com/science/article/pii/S1365160923000059,www.sciencedirect.com,10.1016/j.ijrmms.2023.105331,found,high,10.1016/j.ijrmms.2023.105331,crossref_pii,0.942,Size effect of failure mode of thermally damaged torus granite,https://doi.org/10.1016/j.ijrmms.2023.105331,
49,基于CT-GBM数值模拟的高温花岗岩微开裂行为及损伤机理 - ScienceDirect,基于CT-GBM数值模拟的高温花岗岩微开裂行为及损伤机理,https://www.sciencedirect.com/science/article/pii/S0266352X23001428,www.sciencedirect.com,10.1016/j.compgeo.2023.105385,found,high,10.1016/j.compgeo.2023.105385,crossref_pii,1.000,Microcracking behavior and damage mechanism of granite subjected to high temperature based on CT-GBM numerical simulation,https://doi.org/10.1016/j.compgeo.2023.105385,
50,Multiscale damage and thermal-stress evolution characteristics of rocks with thermal storage potential under thermal shocks - ScienceDirect,Multiscale damage and thermal-stress evolution characteristics of rocks with thermal storage potential under thermal shocks,https://www.sciencedirect.com/science/article/pii/S2352152X24002159,www.sciencedirect.com,10.1016/j.est.2024.110631,found,high,10.1016/j.est.2024.110631,crossref_pii,1.000,Multiscale damage and thermal-stress evolution characteristics of rocks with thermal storage potential under thermal shocks,https://doi.org/10.1016/j.est.2024.110631,
52,An investigation on the deterioration of physical and mechanical properties of granite after cyclic thermal shock - ScienceDirect,An investigation on the deterioration of physical and mechanical properties of granite after cyclic thermal shock,https://www.sciencedirect.com/science/article/pii/S0375650521002091,www.sciencedirect.com,10.1016/j.geothermics.2021.102252,found,high,10.1016/j.geothermics.2021.102252,crossref,1.000,An investigation on the deterioration of physical and mechanical properties of granite after cyclic thermal shock,https://doi.org/10.1016/j.geothermics.2021.102252,
53,Effect of high temperature on mode-I fracture toughness of granite subjected to liquid nitrogen cooling - ScienceDirect,Effect of high temperature on mode-I fracture toughness of granite subjected to liquid nitrogen cooling,https://www.sciencedirect.com/science/article/pii/S0013794421002745?via%3Dihub,www.sciencedirect.com,10.1016/j.engfracmech.2021.107834,found,high,10.1016/j.engfracmech.2021.107834,crossref,1.000,Effect of high temperature on mode-I fracture toughness of granite subjected to liquid nitrogen cooling,https://doi.org/10.1016/j.engfracmech.2021.107834,
55,Effect of liquid nitrogen cooling on mechanical characteristics and fracture morphology of layer coal under Brazilian splitting test - ScienceDirect,Effect of liquid nitrogen cooling on mechanical characteristics and fracture morphology of layer coal under Brazilian splitting test,https://www.sciencedirect.com/science/article/pii/S136516092100407X?via%3Dihub,www.sciencedirect.com,10.1016/j.ijrmms.2021.105026,found,high,10.1016/j.ijrmms.2021.105026,crossref_pii,1.000,Effect of liquid nitrogen cooling on mechanical characteristics and fracture morphology of layer coal under Brazilian splitting test,https://doi.org/10.1016/j.ijrmms.2021.105026,
58,Quantitative visualization and characteristics of gas flow in 3D pore-fracture system of tight rock based on Lattice Boltzmann simulation - ScienceDirect,Quantitative visualization and characteristics of gas flow in 3D pore-fracture system of tight rock based on Lattice Boltzmann simulation,https://www.sciencedirect.com/science/article/pii/S1875510021000743?via%3Dihub,www.sciencedirect.com,10.1016/j.jngse.2021.103867,found,high,10.1016/j.jngse.2021.103867,crossref,1.000,Quantitative visualization and characteristics of gas flow in 3D pore-fracture system of tight rock based on Lattice Boltzmann simulation,https://doi.org/10.1016/j.jngse.2021.103867,
59,https://www.sciencedirect.com/science/article/pii/S0375650522000530#bib0109,https://www.sciencedirect.com/science/article/pii/S0375650522000530#bib0109,https://www.sciencedirect.com/science/article/pii/S0375650522000530,www.sciencedirect.com,10.1016/j.geothermics.2022.102401,found,high,10.1016/j.geothermics.2022.102401,crossref_pii,1.000,Machine learning in subsurface geothermal energy: Two decades in review,https://doi.org/10.1016/j.geothermics.2022.102401,
60,https://www.sciencedirect.com/science/article/pii/S2214509523007817,https://www.sciencedirect.com/science/article/pii/S2214509523007817,https://www.sciencedirect.com/science/article/pii/S2214509523007817,www.sciencedirect.com,10.1016/j.cscm.2023.e02601,found,high,10.1016/j.cscm.2023.e02601,crossref_pii,1.000,Study on mechanical characteristics and damage model of layered sandstone after high temperature action,https://doi.org/10.1016/j.cscm.2023.e02601,
62,"Investigation on pore structure characteristics of ultra-tight sandstone reservoirs in the upper Triassic Xujiahe Formation of the northern Sichuan Basin, China - ScienceDirect","Investigation on pore structure characteristics of ultra-tight sandstone reservoirs in the upper Triassic Xujiahe Formation of the northern Sichuan Basin, China",https://www.sciencedirect.com/science/article/pii/S0264817222000307,www.sciencedirect.com,10.1016/j.marpetgeo.2022.105552,found,high,10.1016/j.marpetgeo.2022.105552,crossref_pii,1.000,"Investigation on pore structure characteristics of ultra-tight sandstone reservoirs in the upper Triassic Xujiahe Formation of the northern Sichuan Basin, China",https://doi.org/10.1016/j.marpetgeo.2022.105552,
63,裂缝表面粗糙度在裂隙岩石中宏观流体流动和传热中的作用 - ScienceDirect,裂缝表面粗糙度在裂隙岩石中宏观流体流动和传热中的作用,https://www.sciencedirect.com/science/article/pii/S1365160916300879,www.sciencedirect.com,10.1016/j.ijrmms.2016.05.006,found,medium,10.1016/j.ijrmms.2016.05.006,crossref_pii,0.682,The role of fracture surface roughness in macroscopic fluid flow and heat transfer in fractured rocks,https://doi.org/10.1016/j.ijrmms.2016.05.006,
64,考虑粗壁裂缝的增强型地热系统采热性能的数值评估 - ScienceDirect,考虑粗壁裂缝的增强型地热系统采热性能的数值评估,https://www.sciencedirect.com/science/article/pii/S0960148122002099,www.sciencedirect.com,10.1016/j.renene.2022.02.067,found,high,10.1016/j.renene.2022.02.067,crossref_pii,1.000,Numerical evaluation of heat extraction performance in enhanced geothermal system considering rough-walled fractures,https://doi.org/10.1016/j.renene.2022.02.067,
65,使用不同冷却介质进行热处理后花岗岩的物理力学性能 - ScienceDirect,使用不同冷却介质进行热处理后花岗岩的物理力学性能,https://www.sciencedirect.com/science/article/pii/S1674775524005146,www.sciencedirect.com,10.1016/j.jrmge.2024.10.010,found,high,10.1016/j.jrmge.2024.10.010,crossref_pii,0.912,Physico-mechanical properties of granite after thermal treatments using different cooling media,https://doi.org/10.1016/j.jrmge.2024.10.010,
68,"Metamorphic geothermal reservoir characterisation—A case study in the Jinlun geothermal area, Taitung, Taiwan - ScienceDirect","Metamorphic geothermal reservoir characterisation—A case study in the Jinlun geothermal area, Taitung, Taiwan",https://www.sciencedirect.com/science/article/pii/S0375650517302390,www.sciencedirect.com,10.1016/j.geothermics.2018.02.002,found,high,10.1016/j.geothermics.2018.02.002,crossref_pii,1.000,"Metamorphic geothermal reservoir characterisation—A case study in the Jinlun geothermal area, Taitung, Taiwan",https://doi.org/10.1016/j.geothermics.2018.02.002,
72,全文阅读--XML全文阅读--中国知网 (cnki.net),全文阅读--XML全文阅读--中国知网,https://kns.cnki.net/KXReader/Detail?invoice=Ze5jysWNmCyhq%2FexYlmtcpAx%2B4PZoYA8QHiPCLzN57bFYNocgmO%2BQeSE59FSeSlE0qdoD8bIifDGc3sttfB%2BZsUHg4hDrypqKsmiEreelDUxBhpT%2BVLqwIYQMHFcQ6lFzM%2F7PPUGyqYJ8Mh96B9xDP5WI%2BktVNUa1r%2FzQC6KtVg%3D&DBCODE=CJFD&FileName=KXTB200209003&TABLEName=cjfd2002&nonce=82914259E29348169BA2554D80D224E2&TIMESTAMP=1706847579275&uid=,kns.cnki.net,,unresolved,none,10.37155/2705-0653-0705-20,crossref,0.343,强化小学语文阅读提升小学语文阅读能力,https://doi.org/10.37155/2705-0653-0705-20,
73,全文阅读--XML全文阅读--中国知网 (cnki.net),全文阅读--XML全文阅读--中国知网,https://kns.cnki.net/KXReader/Detail?invoice=HOdonuYlt2Eo40ZoLG6%2BqkiLXcWK3juTeqHXxFQCx%2BybemIBKOw7BURWCEFzOHm8Tu2dkqvh%2BjVU2Nf0AV5uqcYFLJ%2FuOWGcNFdKVIRwG7Zavzu%2F3LyGLAy3Kx29iEfBcd4TNSbeLCkcBKdmSk5gmF0WuoTuEvfWqWn8iWEjDvo%3D&DBCODE=CJFQ&FileName=DQWX201202013&TABLEName=cjfdlast2022&nonce=EB7DC1933C2647178A4E441E6984B750&TIMESTAMP=1706847176207&uid=,kns.cnki.net,,unresolved,none,10.37155/2705-0653-0705-20,crossref,0.343,强化小学语文阅读提升小学语文阅读能力,https://doi.org/10.37155/2705-0653-0705-20,
74,https://www.sciencedirect.com/science/article/pii/S0264817223003082,https://www.sciencedirect.com/science/article/pii/S0264817223003082,https://www.sciencedirect.com/science/article/pii/S0264817223003082,www.sciencedirect.com,10.1016/j.marpetgeo.2023.106402,found,high,10.1016/j.marpetgeo.2023.106402,crossref_pii,1.000,"Natural fractures in a metamorphic buried hill reservoir, Bozhong 19–6 area, Bohai Bay Basin, China",https://doi.org/10.1016/j.marpetgeo.2023.106402,
76,https://www.sciencedirect.com/science/article/pii/S0013795221003501,https://www.sciencedirect.com/science/article/pii/S0013795221003501,https://www.sciencedirect.com/science/article/pii/S0013795221003501,www.sciencedirect.com,10.1016/j.enggeo.2021.106339,found,high,10.1016/j.enggeo.2021.106339,crossref_pii,1.000,Experimental study on permeability evolution and nonlinear seepage characteristics of fractured rock in coupled thermo-hydraulic-mechanical environment:a case study of the sedimentary rock in Xishan area,https://doi.org/10.1016/j.enggeo.2021.106339,
77,https://www.sciencedirect.com/science/article/pii/S0191814121000948,https://www.sciencedirect.com/science/article/pii/S0191814121000948,https://www.sciencedirect.com/science/article/pii/S0191814121000948,www.sciencedirect.com,10.1016/j.jsg.2021.104370,found,high,10.1016/j.jsg.2021.104370,crossref_pii,1.000,Structural characterization of naturally fractured geothermal reservoirs in the central Upper Rhine Graben,https://doi.org/10.1016/j.jsg.2021.104370,
78,重新审视每个裂缝的大小和空间模式：从岩体表面到内部的推断 - ScienceDirect,重新审视每个裂缝的大小和空间模式：从岩体表面到内部的推断,https://www.sciencedirect.com/science/article/pii/S1674775524005134,www.sciencedirect.com,10.1016/j.jrmge.2024.08.026,found,high,10.1016/j.jrmge.2024.08.026,crossref_pii,1.000,Revisiting each fracture size and spatial pattern: Inference from rock mass surface to interior,https://doi.org/10.1016/j.jrmge.2024.08.026,
79,花岗岩经受热-冷却处理的等效导热系数劣化 - ScienceDirect,花岗岩经受热-冷却处理的等效导热系数劣化,https://www.sciencedirect.com/science/article/pii/S1674775523003475?via%3Dihub,www.sciencedirect.com,10.1016/j.jrmge.2023.11.014,found,high,10.1016/j.jrmge.2023.11.014,crossref_pii,1.000,Deterioration of equivalent thermal conductivity of granite subjected to heating-cooling treatment,https://doi.org/10.1016/j.jrmge.2023.11.014,
80,高温和热循环对花岗岩裂缝表面粗糙度的影响——3D形貌洞察 - ScienceDirect,高温和热循环对花岗岩裂缝表面粗糙度的影响——3D形貌洞察,https://www.sciencedirect.com/science/article/pii/S167477552400341X,www.sciencedirect.com,10.1016/j.jrmge.2024.04.025,found,high,10.1016/j.jrmge.2024.04.025,crossref_pii,1.000,Effects of high temperature and thermal cycles on fracture surface's roughness of granite: An insight on 3D morphology,https://doi.org/10.1016/j.jrmge.2024.04.025,
82,循环剪切作用下岩石裂隙中非达西流的各向异性 - ScienceDirect,循环剪切作用下岩石裂隙中非达西流的各向异性,https://www.sciencedirect.com/science/article/pii/S1674775524005547,www.sciencedirect.com,10.1016/j.jrmge.2024.11.026,found,high,10.1016/j.jrmge.2024.11.026,crossref_pii,0.974,Anisotropy of non-Darcian flow in rock fractures subjected to cyclic shearing,https://doi.org/10.1016/j.jrmge.2024.11.026,
83,基于一阶导数均方根的修正粗糙度指数及其与岩石节理峰值剪切强度的关系 - ScienceDirect,基于一阶导数均方根的修正粗糙度指数及其与岩石节理峰值剪切强度的关系,https://www.sciencedirect.com/science/article/pii/S0013795220317956?via%3Dihub,www.sciencedirect.com,10.1016/j.enggeo.2020.105898,found,high,10.1016/j.enggeo.2020.105898,crossref_pii,0.981,A modified roughness index based on the root mean square of the first derivative and its relationship with peak shear strength of rock joints,https://doi.org/10.1016/j.enggeo.2020.105898,
88,基于模糊综合评价的天然岩石节理剪切相关粗糙度分类与强度模型 - ScienceDirect,基于模糊综合评价的天然岩石节理剪切相关粗糙度分类与强度模型,https://www.sciencedirect.com/science/article/pii/S1365160920309163?via=ihub,www.sciencedirect.com,10.1016/j.ijrmms.2020.104550,found,high,10.1016/j.ijrmms.2020.104550,crossref_pii,0.873,Shear-related roughness classification and strength model of natural rock joint based on fuzzy comprehensive evaluation,https://doi.org/10.1016/j.ijrmms.2020.104550,
89,岩石裂缝表面节理粗糙度系数与分形维数的关系 - ScienceDirect,岩石裂缝表面节理粗糙度系数与分形维数的关系,https://www.sciencedirect.com/science/article/pii/S1365160915000143?via%3Dihub,www.sciencedirect.com,10.1016/j.ijrmms.2015.01.007,found,high,10.1016/j.ijrmms.2015.01.007,crossref_pii,1.000,Relationship between joint roughness coefficient and fractal dimension of rock fracture surfaces,https://doi.org/10.1016/j.ijrmms.2015.01.007,
90,裂缝表面粗糙度在裂隙岩石中宏观流体流动和传热中的作用 - ScienceDirect,裂缝表面粗糙度在裂隙岩石中宏观流体流动和传热中的作用,https://www.sciencedirect.com/science/article/pii/S1365160916300879?via%3Dihub,www.sciencedirect.com,10.1016/j.ijrmms.2016.05.006,found,medium,10.1016/j.ijrmms.2016.05.006,crossref_pii,0.682,The role of fracture surface roughness in macroscopic fluid flow and heat transfer in fractured rocks,https://doi.org/10.1016/j.ijrmms.2016.05.006,
91,新的二维不连续性粗糙度参数及其与JRC的相关性 - ScienceDirect,新的二维不连续性粗糙度参数及其与JRC的相关性,https://www.sciencedirect.com/science/article/pii/S1365160910001036?via%3Dihub,www.sciencedirect.com,10.1016/j.ijrmms.2010.06.006,found,high,10.1016/j.ijrmms.2010.06.006,crossref_pii,1.000,A new 2D discontinuity roughness parameter and its correlation with JRC,https://doi.org/10.1016/j.ijrmms.2010.06.006,
92,接头粗糙度系数 （JRC） 的研究进展及其工程应用 - ScienceDirect,接头粗糙度系数 （JRC） 的研究进展及其工程应用,https://www.sciencedirect.com/science/article/pii/S1674775523000550?via%3Dihub,www.sciencedirect.com,10.1016/j.jrmge.2023.02.002,found,high,10.1016/j.jrmge.2023.02.002,crossref_pii,1.000,Advances in joint roughness coefficient (JRC) and its engineering applications,https://doi.org/10.1016/j.jrmge.2023.02.002,
93,三维激光扫描揭示的节理粗糙度系数的几何异质性 - ScienceDirect,三维激光扫描揭示的节理粗糙度系数的几何异质性,https://www.sciencedirect.com/science/article/pii/S001379521930314X,www.sciencedirect.com,10.1016/j.enggeo.2019.105415,found,high,10.1016/j.enggeo.2019.105415,crossref_pii,0.985,Geometrical heterogeneity of the joint roughness coefficient revealed by 3D laser scanning,https://doi.org/10.1016/j.enggeo.2019.105415,
96,一种估算岩体中不连续面的 2D 节理粗糙度系数的新方法 - ScienceDirect,一种估算岩体中不连续面的 2D 节理粗糙度系数的新方法,https://www.sciencedirect.com/science/article/pii/S1365160914002500?via%3Dihub,www.sciencedirect.com,10.1016/j.ijrmms.2014.09.009,found,high,10.1016/j.ijrmms.2014.09.009,crossref_pii,0.973,A new method estimating the 2D Joint Roughness Coefficient for discontinuity surfaces in rock masses,https://doi.org/10.1016/j.ijrmms.2014.09.009,
97,循环加热和空气冷却处理下花岗岩裂缝的剪切性能变化 - ScienceDirect,循环加热和空气冷却处理下花岗岩裂缝的剪切性能变化,https://www.sciencedirect.com/science/article/pii/S1674775524001161?via%3Dihub,www.sciencedirect.com,10.1016/j.jrmge.2024.03.004,found,high,10.1016/j.jrmge.2024.03.004,crossref_pii,0.842,Changes in shear properties of granite fractures subjected to cyclic heating and air-cooling treatments,https://doi.org/10.1016/j.jrmge.2024.03.004,
99,基于分形理论的采矿诱导裂缝网络重建和各向异性采矿增强渗透率评估 - ScienceDirect,基于分形理论的采矿诱导裂缝网络重建和各向异性采矿增强渗透率评估,https://www.sciencedirect.com/science/article/pii/S1674775524003950,www.sciencedirect.com,10.1016/j.jrmge.2024.05.039,found,high,10.1016/j.jrmge.2024.05.039,crossref_pii,0.921,Mining-induced fracture network reconstruction and anisotropic mining-enhanced permeability evaluation using fractal theory,https://doi.org/10.1016/j.jrmge.2024.05.039,
