sheet,row,title,url,domain,doi,doi_source,sciencedirect_pii,needs_external_lookup
Sheet1,72,全文阅读--XML全文阅读--中国知网 (cnki.net),https://kns.cnki.net/KXReader/Detail?invoice=Ze5jysWNmCyhq%2FexYlmtcpAx%2B4PZoYA8QHiPCLzN57bFYNocgmO%2BQeSE59FSeSlE0qdoD8bIifDGc3sttfB%2BZsUHg4hDrypqKsmiEreelDUxBhpT%2BVLqwIYQMHFcQ6lFzM%2F7PPUGyqYJ8Mh96B9xDP5WI%2BktVNUa1r%2FzQC6KtVg%3D&DBCODE=CJFD&FileName=KXTB200209003&TABLEName=cjfd2002&nonce=82914259E29348169BA2554D80D224E2&TIMESTAMP=1706847579275&uid=,kns.cnki.net,,,,yes
Sheet1,73,全文阅读--XML全文阅读--中国知网 (cnki.net),https://kns.cnki.net/KXReader/Detail?invoice=HOdonuYlt2Eo40ZoLG6%2BqkiLXcWK3juTeqHXxFQCx%2BybemIBKOw7BURWCEFzOHm8Tu2dkqvh%2BjVU2Nf0AV5uqcYFLJ%2FuOWGcNFdKVIRwG7Zavzu%2F3LyGLAy3Kx29iEfBcd4TNSbeLCkcBKdmSk5gmF0WuoTuEvfWqWn8iWEjDvo%3D&DBCODE=CJFQ&FileName=DQWX201202013&TABLEName=cjfdlast2022&nonce=EB7DC1933C2647178A4E441E6984B750&TIMESTAMP=1706847176207&uid=,kns.cnki.net,,,,yes
Sheet1,74,https://www.sciencedirect.com/science/article/pii/S0264817223003082,https://www.sciencedirect.com/science/article/pii/S0264817223003082,www.sciencedirect.com,,,S0264817223003082,yes
Sheet1,76,https://www.sciencedirect.com/science/article/pii/S0013795221003501,https://www.sciencedirect.com/science/article/pii/S0013795221003501,www.sciencedirect.com,,,S0013795221003501,yes
Sheet1,77,https://www.sciencedirect.com/science/article/pii/S0191814121000948,https://www.sciencedirect.com/science/article/pii/S0191814121000948,www.sciencedirect.com,,,S0191814121000948,yes
Sheet1,78,重新审视每个裂缝的大小和空间模式：从岩体表面到内部的推断 - ScienceDirect,https://www.sciencedirect.com/science/article/pii/S1674775524005134,www.sciencedirect.com,,,S1674775524005134,yes
Sheet1,79,花岗岩经受热-冷却处理的等效导热系数劣化 - ScienceDirect,https://www.sciencedirect.com/science/article/pii/S1674775523003475?via%3Dihub,www.sciencedirect.com,,,S1674775523003475,yes
Sheet1,80,高温和热循环对花岗岩裂缝表面粗糙度的影响——3D形貌洞察 - ScienceDirect,https://www.sciencedirect.com/science/article/pii/S167477552400341X,www.sciencedirect.com,,,S167477552400341X,yes
Sheet1,82,循环剪切作用下岩石裂隙中非达西流的各向异性 - ScienceDirect,https://www.sciencedirect.com/science/article/pii/S1674775524005547,www.sciencedirect.com,,,S1674775524005547,yes
Sheet1,83,基于一阶导数均方根的修正粗糙度指数及其与岩石节理峰值剪切强度的关系 - ScienceDirect,https://www.sciencedirect.com/science/article/pii/S0013795220317956?via%3Dihub,www.sciencedirect.com,,,S0013795220317956,yes
Sheet1,88,基于模糊综合评价的天然岩石节理剪切相关粗糙度分类与强度模型 - ScienceDirect,https://www.sciencedirect.com/science/article/pii/S1365160920309163?via=ihub,www.sciencedirect.com,,,S1365160920309163,yes
Sheet1,89,岩石裂缝表面节理粗糙度系数与分形维数的关系 - ScienceDirect,https://www.sciencedirect.com/science/article/pii/S1365160915000143?via%3Dihub,www.sciencedirect.com,,,S1365160915000143,yes
Sheet1,90,裂缝表面粗糙度在裂隙岩石中宏观流体流动和传热中的作用 - ScienceDirect,https://www.sciencedirect.com/science/article/pii/S1365160916300879?via%3Dihub,www.sciencedirect.com,,,S1365160916300879,yes
Sheet1,91,新的二维不连续性粗糙度参数及其与JRC的相关性 - ScienceDirect,https://www.sciencedirect.com/science/article/pii/S1365160910001036?via%3Dihub,www.sciencedirect.com,,,S1365160910001036,yes
Sheet1,92,接头粗糙度系数 （JRC） 的研究进展及其工程应用 - ScienceDirect,https://www.sciencedirect.com/science/article/pii/S1674775523000550?via%3Dihub,www.sciencedirect.com,,,S1674775523000550,yes
Sheet1,93,三维激光扫描揭示的节理粗糙度系数的几何异质性 - ScienceDirect,https://www.sciencedirect.com/science/article/pii/S001379521930314X,www.sciencedirect.com,,,S001379521930314X,yes
Sheet1,96,一种估算岩体中不连续面的 2D 节理粗糙度系数的新方法 - ScienceDirect,https://www.sciencedirect.com/science/article/pii/S1365160914002500?via%3Dihub,www.sciencedirect.com,,,S1365160914002500,yes
Sheet1,97,循环加热和空气冷却处理下花岗岩裂缝的剪切性能变化 - ScienceDirect,https://www.sciencedirect.com/science/article/pii/S1674775524001161?via%3Dihub,www.sciencedirect.com,,,S1674775524001161,yes
Sheet1,99,基于分形理论的采矿诱导裂缝网络重建和各向异性采矿增强渗透率评估 - ScienceDirect,https://www.sciencedirect.com/science/article/pii/S1674775524003950,www.sciencedirect.com,,,S1674775524003950,yes
Sheet1,103,考虑采样方法和几何特性，重新审视尺度对节理粗糙度系数和剪切强度的影响 - ScienceDirect,https://www.sciencedirect.com/science/article/pii/S1674775524004104,www.sciencedirect.com,,,S1674775524004104,yes
Sheet1,104,单轴压缩作用下花岗岩的温度依赖性声发射特性及统计本构模型 - ScienceDirect,https://www.sciencedirect.com/science/article/pii/S1674775524003664,www.sciencedirect.com,,,S1674775524003664,yes
Sheet1,105,基于遗传算法优化的反向传播神经网络，用于岩石节理粗糙度评估 - ScienceDirect,https://www.sciencedirect.com/science/article/pii/S1674775524005602,www.sciencedirect.com,,,S1674775524005602,yes
Sheet1,109,利用岩心直径变形估算采矿工作面应力的方法 - ScienceDirect,https://www.sciencedirect.com/science/article/pii/S1365160922002660,www.sciencedirect.com,,,S1365160922002660,yes
Sheet1,110,基于直径岩心变形技术的采矿前沿稳定性评价实用方法,https://www.mdpi.com/2075-163X/14/4/385,www.mdpi.com,,,,yes
Sheet1,114,Lac du Bonnet 花岗岩的岩心盘及其与应力大小的关系 - ScienceDirect,https://www.sciencedirect.com/science/article/pii/S1365160909001749?via%3Dihub,www.sciencedirect.com,,,S1365160909001749,yes
Sheet1,116,"松科2号井在4,500 m以下深度提取的岩心的盘片行为及机理 - ScienceDirect",https://www.sciencedirect.com/science/article/pii/S1365160921003580?via%3Dihub,www.sciencedirect.com,,,S1365160921003580,yes
Sheet1,119,通过 X 射线 CT 成像进行深岩芯直径变形和节理粗糙度评估的应力估计,https://www.mdpi.com/1424-8220/20/23/6802,www.mdpi.com,,,,yes
Sheet1,120,利用X射线计算机断层扫描技术表征深岩心中开放和封闭岩石节理的表面粗糙度 - ScienceDirect,https://www.sciencedirect.com/science/article/pii/S1365160917301594?via=ihub,www.sciencedirect.com,,,S1365160917301594,yes
Sheet1,121,使用不同冷却介质进行热处理后花岗岩的物理力学性能 - ScienceDirect,https://www.sciencedirect.com/science/article/pii/S1674775524005146,www.sciencedirect.com,,,S1674775524005146,yes
