sheet,row,title,url,domain,doi,doi_source,sciencedirect_pii,needs_external_lookup,cleaned_title,doi_enriched,doi_enriched_source,doi_confidence,lookup_status
Sheet1,11,Experimental investigations on the tensile behaviour of granite after heating and water-cooling treatment | Bulletin of Engineering Geology and the Environment (springer.com),https://link.springer.com/article/10.1007/s10064-021-02284-5,link.springer.com,10.1007/s10064-021-02284-5,url_or_title,,no,Experimental investigations on the tensile behaviour of granite after heating and water-cooling treatment,10.1007/s10064-021-02284-5,url_or_title,exact,existing
Sheet1,12,Mechanical test of granite with multiple water-thermal cycles-All Databases (clarivate.cn),https://webofscience.clarivate.cn/wos/alldb/full-record/WOS:000611981200001,webofscience.clarivate.cn,,,,yes,Mechanical test of granite with multiple water-thermal cycles,10.1186/s40517-021-00186-z,crossref,high,found
Sheet1,13,Thermal properties of Central Aare granite for temperatures up to 500°C: Irreversible changes due to thermal crack formation - Kant - 2017 - Geophysical Research Letters - Wiley Online Library,https://agupubs.onlinelibrary.wiley.com/doi/10.1002/2016GL070990,agupubs.onlinelibrary.wiley.com,10.1002/2016GL070990,url_or_title,,no,Thermal properties of Central Aare granite for temperatures up to 500°C: Irreversible changes due to thermal crack formation - Kant - 2017 - Geophysical Research Letters - Wiley Online Library,10.1002/2016gl070990,url_or_title,exact,existing
Sheet1,14,https://link.springer.com/article/10.1007/s40948-022-00388-0,https://link.springer.com/article/10.1007/s40948-022-00388-0,link.springer.com,10.1007/s40948-022-00388-0,url_or_title,,no,https://link.springer.com/article/10.1007/s40948-022-00388-0,10.1007/s40948-022-00388-0,url_or_title,exact,existing
Sheet1,15,The role of multiple heating and water cooling cycles on physical and mechanical responses of granite rocks | Geomechanics and Geophysics for Geo-Energy and Geo-Resources (springer.com),https://link.springer.com/article/10.1007/s40948-021-00267-0,link.springer.com,10.1007/s40948-021-00267-0,url_or_title,,no,The role of multiple heating and water cooling cycles on physical and mechanical responses of granite rocks,10.1007/s40948-021-00267-0,url_or_title,exact,existing
Sheet1,16,变热循环后砂岩物理力学性能试验研究 |工程地质与环境通报 (springer.com),https://link.springer.com/article/10.1007/s10064-020-01779-x,link.springer.com,10.1007/s10064-020-01779-x,url_or_title,,no,变热循环后砂岩物理力学性能试验研究,10.1007/s10064-020-01779-x,url_or_title,exact,existing
Sheet1,17,Thermal properties of sandstone after treatment at high temperature - ScienceDirect,https://www.sciencedirect.com/science/article/pii/S1365160916300338?via%3Dihub,www.sciencedirect.com,,,S1365160916300338,yes,Thermal properties of sandstone after treatment at high temperature,10.1016/j.ijrmms.2016.03.006,crossref,high,found
Sheet1,18,The effect of rapid cooling on the thermal diffusivity of granite - ScienceDirect,https://www.sciencedirect.com/science/article/pii/S0926985118307869,www.sciencedirect.com,,,S0926985118307869,yes,The effect of rapid cooling on the thermal diffusivity of granite,10.1016/j.jappgeo.2019.06.002,crossref_pii,high,found
Sheet1,19,Macroscopic and microscopic experimental research on granite properties after high-temperature and water-cooling cycles - ScienceDirect,https://www.sciencedirect.com/science/article/pii/S0375650521000390,www.sciencedirect.com,,,S0375650521000390,yes,Macroscopic and microscopic experimental research on granite properties after high-temperature and water-cooling cycles,10.1016/j.geothermics.2021.102079,crossref_pii,high,found
Sheet1,20,Influence of multiple porous structure evolution on physical–mechanical properties and damage mechanism of sandstone heated continuously/periodically with the identical heating time | Bulletin of Engineering Geology and the Environment (springer.com),https://link.springer.com/article/10.1007/s10064-022-03020-3,link.springer.com,10.1007/s10064-022-03020-3,url_or_title,,no,Influence of multiple porous structure evolution on physical–mechanical properties and damage mechanism of sandstone heated continuously/periodically with the identical heating time,10.1007/s10064-022-03020-3,url_or_title,exact,existing
Sheet1,21,"Influence of different thermal cycling treatments on the physical, mechanical and transport properties of granite - ScienceDirect",https://www.sciencedirect.com/science/article/pii/S0375650518300907?via%3Dihub,www.sciencedirect.com,,,S0375650518300907,yes,"Influence of different thermal cycling treatments on the physical, mechanical and transport properties of granite",10.1016/j.geothermics.2018.12.008,crossref,high,found
Sheet1,22,高温下花岗岩的声发射和损伤特性 - 徐 - 2018 - 材料科学与工程进展 - Wiley 在线图书馆,https://onlinelibrary.wiley.com/doi/10.1155/2018/8149870,onlinelibrary.wiley.com,10.1155/2018/8149870,url_or_title,,no,高温下花岗岩的声发射和损伤特性 - 徐 - 2018 - 材料科学与工程进展 - Wiley 在线图书馆,10.1155/2018/8149870,url_or_title,exact,existing
Sheet1,23,花岗岩实时高温和自然冷却后力学性能及碰撞特性的比较研究 |岩石力学和岩石工程,https://link.springer.com/article/10.1007/s00603-023-03380-6,link.springer.com,10.1007/s00603-023-03380-6,url_or_title,,no,花岗岩实时高温和自然冷却后力学性能及碰撞特性的比较研究 |岩石力学和岩石工程,10.1007/s00603-023-03380-6,url_or_title,exact,existing
Sheet1,24,共和花岗岩在实时高温下的力学损伤和蠕变特性试验研究 - ScienceDirect,https://www.sciencedirect.com/science/article/pii/S0375650524001871?via%3Dihub,www.sciencedirect.com,,,S0375650524001871,yes,共和花岗岩在实时高温下的力学损伤和蠕变特性试验研究,10.1016/j.geothermics.2024.103100,crossref_pii,high,found
Sheet1,25,高温高压超临界水条件下花岗岩损伤的实验研究 - ScienceDirect,https://www.sciencedirect.com/science/article/pii/S0920410519304851,www.sciencedirect.com,,,S0920410519304851,yes,高温高压超临界水条件下花岗岩损伤的实验研究,10.1016/j.petrol.2019.05.031,crossref_pii,high,found
Sheet1,26,单轴压缩作用下花岗岩的温度依赖性声发射特性及统计本构模型 - ScienceDirect,https://www.sciencedirect.com/science/article/pii/S1674775524003664,www.sciencedirect.com,,,S1674775524003664,yes,单轴压缩作用下花岗岩的温度依赖性声发射特性及统计本构模型,10.1016/j.jrmge.2024.05.033,crossref_pii,high,found
Sheet1,27,高温花岗岩和热处理花岗岩的机械性能比较 - ScienceDirect,https://www.sciencedirect.com/science/article/pii/S100363261664311X?via%3Dihub,www.sciencedirect.com,,,S100363261664311X,yes,高温花岗岩和热处理花岗岩的机械性能比较,10.1016/s1003-6326(16)64311-x,crossref_pii,high,found
Sheet1,28,高温处理后花岗岩的物理机械性能 |岩石力学和岩石工程,https://link.springer.com/article/10.1007/s00603-019-01919-0,link.springer.com,10.1007/s00603-019-01919-0,url_or_title,,no,高温处理后花岗岩的物理机械性能 |岩石力学和岩石工程,10.1007/s00603-019-01919-0,url_or_title,exact,existing
Sheet1,29,高温对花岗岩热性能的影响 |岩石力学和岩石工程,https://link.springer.com/article/10.1007/s00603-019-1733-0,link.springer.com,10.1007/s00603-019-1733-0,url_or_title,,no,高温对花岗岩热性能的影响 |岩石力学和岩石工程,10.1007/s00603-019-1733-0,url_or_title,exact,existing
Sheet1,30,Influence of Real-Time Heating on Mechanical Behaviours of Rocks (hindawi.com),https://www.hindawi.com/journals/ace/2020/8879922/,www.hindawi.com,,,,yes,Influence of Real-Time Heating on Mechanical Behaviours of Rocks,10.1155/2020/8879922,crossref,high,found
Sheet1,31,Experimental study on permeability and porosity evolution of host rock with varying damage degrees in excavation damaged area under real-time ultra-high temperature and triaxial stress/seepage pressure condition | Bulletin of Engineering Geology and the Environment (springer.com),https://link.springer.com/article/10.1007/s10064-021-02408-x,link.springer.com,10.1007/s10064-021-02408-x,url_or_title,,no,Experimental study on permeability and porosity evolution of host rock with varying damage degrees in excavation damaged area under real-time ultra-high temperature and triaxial stress/seepage pressure condition,10.1007/s10064-021-02408-x,url_or_title,exact,existing
Sheet1,32,Damage deterioration mechanism and damage constitutive modelling of red sandstone under cyclic thermal-cooling treatments | Archives of Civil and Mechanical Engineering (springer.com),https://link.springer.com/article/10.1007/s43452-022-00505-6,link.springer.com,10.1007/s43452-022-00505-6,url_or_title,,no,Damage deterioration mechanism and damage constitutive modelling of red sandstone under cyclic thermal-cooling treatments,10.1007/s43452-022-00505-6,url_or_title,exact,existing
Sheet1,33,The effect of high temperature on tensile strength of sandstone - ScienceDirect,https://www.sciencedirect.com/science/article/pii/S1359431116319524,www.sciencedirect.com,,,S1359431116319524,yes,The effect of high temperature on tensile strength of sandstone,10.1016/j.applthermaleng.2016.09.151,crossref,high,found
Sheet1,34,Heat-capacity measurements of sandstone at high temperatures | Geomechanics and Geophysics for Geo-Energy and Geo-Resources (springer.com),https://link.springer.com/article/10.1007/s40948-018-0099-1?utm_source=xmol&utm_medium=affiliate&utm_content=meta&utm_campaign=DDCN_1_GL01_metadata,link.springer.com,10.1007/s40948-018-0099-1,url_or_title,,no,Heat-capacity measurements of sandstone at high temperatures,10.1007/s40948-018-0099-1,url_or_title,exact,existing
Sheet1,35,Applied Sciences | Free Full-Text | Physical and Mechanical Properties and Damage Mechanism of Sandstone at High Temperatures (mdpi.com),https://www.mdpi.com/2076-3417/14/1/444,www.mdpi.com,,,,yes,Applied Sciences,10.3138/9781487586003-007,crossref,high,found
Sheet1,36,Investigation of high-temperature effects on the strengthening and degradation of mechanical property in sandstone - ScienceDirect,https://www.sciencedirect.com/science/article/pii/S0306261923018962,www.sciencedirect.com,,,S0306261923018962,yes,Investigation of high-temperature effects on the strengthening and degradation of mechanical property in sandstone,10.1016/j.apenergy.2023.122532,crossref_pii,high,found
Sheet1,37,Changes in mechanical properties and fracture behaviors of heated marble subjected to liquid nitrogen cooling - ScienceDirect,https://www.sciencedirect.com/science/article/pii/S0013794422000236?via%3Dihub,www.sciencedirect.com,,,S0013794422000236,yes,Changes in mechanical properties and fracture behaviors of heated marble subjected to liquid nitrogen cooling,10.1016/j.engfracmech.2022.108256,crossref_pii,high,found
Sheet1,38,Experimental Evaluation of Physical and Mechanical Properties of Geothermal Reservoir Rock after Different Cooling Treatments | Rock Mechanics and Rock Engineering (springer.com),https://link.springer.com/article/10.1007/s00603-020-02200-5,link.springer.com,10.1007/s00603-020-02200-5,url_or_title,,no,Experimental Evaluation of Physical and Mechanical Properties of Geothermal Reservoir Rock after Different Cooling Treatments,10.1007/s00603-020-02200-5,url_or_title,exact,existing
Sheet1,39,Effects of rapid cooling treatment on heated sandstone: a comparison between water and liquid nitrogen cooling | Bulletin of Engineering Geology and the Environment (springer.com),https://link.springer.com/article/10.1007/s10064-019-01571-6,link.springer.com,10.1007/s10064-019-01571-6,url_or_title,,no,Effects of rapid cooling treatment on heated sandstone: a comparison between water and liquid nitrogen cooling,10.1007/s10064-019-01571-6,url_or_title,exact,existing
Sheet1,40,Cryogenic quenching of rock using liquid nitrogen as a coolant: Investigation of surface effects - ScienceDirect,https://www.sciencedirect.com/science/article/pii/S0017931017325954,www.sciencedirect.com,,,S0017931017325954,yes,Cryogenic quenching of rock using liquid nitrogen as a coolant: Investigation of surface effects,10.1016/j.ijheatmasstransfer.2017.11.123,crossref,high,found
Sheet1,41,Regulated transient pool boiling of water during quenching on nanostructured surfaces with modified wettability from superhydrophilic to superhydrophobic - ScienceDirect,https://www.sciencedirect.com/science/article/pii/S0017931014003305,www.sciencedirect.com,,,S0017931014003305,yes,Regulated transient pool boiling of water during quenching on nanostructured surfaces with modified wettability from superhydrophilic to superhydrophobic,10.1016/j.ijheatmasstransfer.2014.04.025,crossref,high,found
Sheet1,42,Waterless fracturing technologies for unconventional reservoirs-opportunities for liquid nitrogen - ScienceDirect,https://www.sciencedirect.com/science/article/pii/S1875510016305996,www.sciencedirect.com,,,S1875510016305996,yes,Waterless fracturing technologies for unconventional reservoirs-opportunities for liquid nitrogen,10.1016/j.jngse.2016.08.052,crossref,high,found
Sheet1,43,液氮超低温诱导岩石类材料裂缝形成机制研究 (whrsm.ac.cn),http://rockmech.whrsm.ac.cn/CN/abstract/abstract31955.shtml,rockmech.whrsm.ac.cn,,,,yes,液氮超低温诱导岩石类材料裂缝形成机制研究 (whrsm.ac.cn),,unresolved,none,unresolved
Sheet1,44,Effect of Rapid Thermal Cooling on Mechanical Rock Properties | Rock Mechanics and Rock Engineering (springer.com),https://link.springer.com/article/10.1007/s00603-013-0523-3,link.springer.com,10.1007/s00603-013-0523-3,url_or_title,,no,Effect of Rapid Thermal Cooling on Mechanical Rock Properties,10.1007/s00603-013-0523-3,url_or_title,exact,existing
Sheet1,45,https://www.sciencedirect.com/science/article/pii/S0960148121011435?via%3Dihub#bib46,https://www.sciencedirect.com/science/article/pii/S0960148121011435?via%3Dihub,www.sciencedirect.com,,,S0960148121011435,yes,https://www.sciencedirect.com/science/article/pii/S0960148121011435?via%3Dihub#bib46,10.1016/j.renene.2021.07.132,crossref_pii,high,found
Sheet1,46,热损伤环面花岗岩失效模式的尺寸效应 - ScienceDirect,https://www.sciencedirect.com/science/article/pii/S1365160923000059,www.sciencedirect.com,,,S1365160923000059,yes,热损伤环面花岗岩失效模式的尺寸效应,10.1016/j.ijrmms.2023.105331,crossref_pii,high,found
Sheet1,47,Impact of cooling rate on mechanical properties and failure mechanism of sandstone under thermal–mechanical coupling effect | International Journal of Coal Science & Technology (springer.com),https://link.springer.com/article/10.1007/s40789-023-00584-7,link.springer.com,10.1007/s40789-023-00584-7,url_or_title,,no,Impact of cooling rate on mechanical properties and failure mechanism of sandstone under thermal–mechanical coupling effect,10.1007/s40789-023-00584-7,url_or_title,exact,existing
Sheet1,48,Mechanical Properties and Crack Propagation Behavior of Granite After High Temperature Treatment Based on a Thermo-Mechanical Grain-Based Model | Rock Mechanics and Rock Engineering (springer.com),https://link.springer.com/article/10.1007/s00603-023-03408-x,link.springer.com,10.1007/s00603-023-03408-x,url_or_title,,no,Mechanical Properties and Crack Propagation Behavior of Granite After High Temperature Treatment Based on a Thermo-Mechanical Grain-Based Model,10.1007/s00603-023-03408-x,url_or_title,exact,existing
Sheet1,49,基于CT-GBM数值模拟的高温花岗岩微开裂行为及损伤机理 - ScienceDirect,https://www.sciencedirect.com/science/article/pii/S0266352X23001428,www.sciencedirect.com,,,S0266352X23001428,yes,基于CT-GBM数值模拟的高温花岗岩微开裂行为及损伤机理,10.1016/j.compgeo.2023.105385,crossref_pii,high,found
Sheet1,50,Multiscale damage and thermal-stress evolution characteristics of rocks with thermal storage potential under thermal shocks - ScienceDirect,https://www.sciencedirect.com/science/article/pii/S2352152X24002159,www.sciencedirect.com,,,S2352152X24002159,yes,Multiscale damage and thermal-stress evolution characteristics of rocks with thermal storage potential under thermal shocks,10.1016/j.est.2024.110631,crossref_pii,high,found
Sheet1,51,Numerical modelling of heat shock‐assisted rock fracture - Pressacco - 2020 - International Journal for Numerical and Analytical Methods in Geomechanics - Wiley Online Library,https://onlinelibrary.wiley.com/doi/full/10.1002/nag.3004,onlinelibrary.wiley.com,10.1002/nag.3004,url_or_title,,no,Numerical modelling of heat shock‐assisted rock fracture - Pressacco - 2020 - International Journal for Numerical and Analytical Methods in Geomechanics - Wiley Online Library,10.1002/nag.3004,url_or_title,exact,existing
Sheet1,52,An investigation on the deterioration of physical and mechanical properties of granite after cyclic thermal shock - ScienceDirect,https://www.sciencedirect.com/science/article/pii/S0375650521002091,www.sciencedirect.com,,,S0375650521002091,yes,An investigation on the deterioration of physical and mechanical properties of granite after cyclic thermal shock,10.1016/j.geothermics.2021.102252,crossref,high,found
Sheet1,53,Effect of high temperature on mode-I fracture toughness of granite subjected to liquid nitrogen cooling - ScienceDirect,https://www.sciencedirect.com/science/article/pii/S0013794421002745?via%3Dihub,www.sciencedirect.com,,,S0013794421002745,yes,Effect of high temperature on mode-I fracture toughness of granite subjected to liquid nitrogen cooling,10.1016/j.engfracmech.2021.107834,crossref,high,found
Sheet1,54,液氮冷冲击作用下高温花岗岩的损伤评价与统计本构模型 |岩石力学和岩石工程,https://link.springer.com/article/10.1007/s00603-022-02779-x,link.springer.com,10.1007/s00603-022-02779-x,url_or_title,,no,液氮冷冲击作用下高温花岗岩的损伤评价与统计本构模型 |岩石力学和岩石工程,10.1007/s00603-022-02779-x,url_or_title,exact,existing
Sheet1,55,Effect of liquid nitrogen cooling on mechanical characteristics and fracture morphology of layer coal under Brazilian splitting test - ScienceDirect,https://www.sciencedirect.com/science/article/pii/S136516092100407X?via%3Dihub,www.sciencedirect.com,,,S136516092100407X,yes,Effect of liquid nitrogen cooling on mechanical characteristics and fracture morphology of layer coal under Brazilian splitting test,10.1016/j.ijrmms.2021.105026,crossref_pii,high,found
Sheet1,57,Study on Fracture Surface Damage and Fluid Flow Characteristics of Hot Dry Rock with Different Failure Modes under Repeated Thermal Shock | Rock Mechanics and Rock Engineering (springer.com),https://link.springer.com/article/10.1007/s00603-023-03526-6?utm_source=xmol&utm_medium=affiliate&utm_content=meta&utm_campaign=DDCN_1_GL01_metadata,link.springer.com,10.1007/s00603-023-03526-6,url_or_title,,no,Study on Fracture Surface Damage and Fluid Flow Characteristics of Hot Dry Rock with Different Failure Modes under Repeated Thermal Shock,10.1007/s00603-023-03526-6,url_or_title,exact,existing
Sheet1,58,Quantitative visualization and characteristics of gas flow in 3D pore-fracture system of tight rock based on Lattice Boltzmann simulation - ScienceDirect,https://www.sciencedirect.com/science/article/pii/S1875510021000743?via%3Dihub,www.sciencedirect.com,,,S1875510021000743,yes,Quantitative visualization and characteristics of gas flow in 3D pore-fracture system of tight rock based on Lattice Boltzmann simulation,10.1016/j.jngse.2021.103867,crossref,high,found
Sheet1,59,https://www.sciencedirect.com/science/article/pii/S0375650522000530#bib0109,https://www.sciencedirect.com/science/article/pii/S0375650522000530,www.sciencedirect.com,,,S0375650522000530,yes,https://www.sciencedirect.com/science/article/pii/S0375650522000530#bib0109,10.1016/j.geothermics.2022.102401,crossref_pii,high,found
Sheet1,60,https://www.sciencedirect.com/science/article/pii/S2214509523007817,https://www.sciencedirect.com/science/article/pii/S2214509523007817,www.sciencedirect.com,,,S2214509523007817,yes,https://www.sciencedirect.com/science/article/pii/S2214509523007817,10.1016/j.cscm.2023.e02601,crossref_pii,high,found
Sheet1,61,Experimental investigation on mechanical properties and permeability evolution of red sandstone after heat treatments | Journal of Zhejiang University-SCIENCE A (springer.com),https://link.springer.com/article/10.1631/jzus.A1400362,link.springer.com,10.1631/jzus.A1400362,url_or_title,,no,Experimental investigation on mechanical properties and permeability evolution of red sandstone after heat treatments,10.1631/jzus.a1400362,url_or_title,exact,existing
Sheet1,62,"Investigation on pore structure characteristics of ultra-tight sandstone reservoirs in the upper Triassic Xujiahe Formation of the northern Sichuan Basin, China - ScienceDirect",https://www.sciencedirect.com/science/article/pii/S0264817222000307,www.sciencedirect.com,,,S0264817222000307,yes,"Investigation on pore structure characteristics of ultra-tight sandstone reservoirs in the upper Triassic Xujiahe Formation of the northern Sichuan Basin, China",10.1016/j.marpetgeo.2022.105552,crossref_pii,high,found
Sheet1,63,裂缝表面粗糙度在裂隙岩石中宏观流体流动和传热中的作用 - ScienceDirect,https://www.sciencedirect.com/science/article/pii/S1365160916300879,www.sciencedirect.com,,,S1365160916300879,yes,裂缝表面粗糙度在裂隙岩石中宏观流体流动和传热中的作用,10.1016/j.ijrmms.2016.05.006,crossref_pii,medium,found
Sheet1,64,考虑粗壁裂缝的增强型地热系统采热性能的数值评估 - ScienceDirect,https://www.sciencedirect.com/science/article/pii/S0960148122002099,www.sciencedirect.com,,,S0960148122002099,yes,考虑粗壁裂缝的增强型地热系统采热性能的数值评估,10.1016/j.renene.2022.02.067,crossref_pii,high,found
Sheet1,65,使用不同冷却介质进行热处理后花岗岩的物理力学性能 - ScienceDirect,https://www.sciencedirect.com/science/article/pii/S1674775524005146,www.sciencedirect.com,,,S1674775524005146,yes,使用不同冷却介质进行热处理后花岗岩的物理力学性能,10.1016/j.jrmge.2024.10.010,crossref_pii,high,found
Sheet1,66,液氮冷却后加热花岗岩的物理力学性能和微观结构演化模式研究 |地质力学和地质物理学,https://link.springer.com/article/10.1007/s40948-023-00720-2,link.springer.com,10.1007/s40948-023-00720-2,url_or_title,,no,液氮冷却后加热花岗岩的物理力学性能和微观结构演化模式研究 |地质力学和地质物理学,10.1007/s40948-023-00720-2,url_or_title,exact,existing
Sheet1,67,液氮冷却状态对煤机械性能和压裂特性的影响 |岩石力学和岩石工程,https://link.springer.com/article/10.1007/s00603-022-02851-6,link.springer.com,10.1007/s00603-022-02851-6,url_or_title,,no,液氮冷却状态对煤机械性能和压裂特性的影响 |岩石力学和岩石工程,10.1007/s00603-022-02851-6,url_or_title,exact,existing
Sheet1,68,"Metamorphic geothermal reservoir characterisation—A case study in the Jinlun geothermal area, Taitung, Taiwan - ScienceDirect",https://www.sciencedirect.com/science/article/pii/S0375650517302390,www.sciencedirect.com,,,S0375650517302390,yes,"Metamorphic geothermal reservoir characterisation—A case study in the Jinlun geothermal area, Taitung, Taiwan",10.1016/j.geothermics.2018.02.002,crossref_pii,high,found
Sheet1,69,"The reservoir characteristics and their significance for deliverability in metamorphic granite buried hill: a case study from the JZS oil field in the Liaodong Bay Basin, NE China | Arabian Journal of Geosciences (springer.com)",https://link.springer.com/article/10.1007/s12517-019-4823-0?utm_source=xmol&utm_medium=affiliate&utm_content=meta&utm_campaign=DDCN_1_GL01_metadata,link.springer.com,10.1007/s12517-019-4823-0,url_or_title,,no,"The reservoir characteristics and their significance for deliverability in metamorphic granite buried hill: a case study from the JZS oil field in the Liaodong Bay Basin, NE China",10.1007/s12517-019-4823-0,url_or_title,exact,existing
Sheet1,70,Fault and fracture network characterization using seismic data: a study based on neural network models assessment | Geomechanics and Geophysics for Geo-Energy and Geo-Resources (springer.com),https://link.springer.com/article/10.1007/s40948-022-00352-y?utm_source=xmol&utm_medium=affiliate&utm_content=meta&utm_campaign=DDCN_1_GL01_metadata,link.springer.com,10.1007/s40948-022-00352-y,url_or_title,,no,Fault and fracture network characterization using seismic data: a study based on neural network models assessment,10.1007/s40948-022-00352-y,url_or_title,exact,existing
Sheet1,71,Seismic prediction method of multiscale fractured reservoir | Applied Geophysics (springer.com),https://link.springer.com/article/10.1007/s11770-018-0667-8,link.springer.com,10.1007/s11770-018-0667-8,url_or_title,,no,Seismic prediction method of multiscale fractured reservoir,10.1007/s11770-018-0667-8,url_or_title,exact,existing
Sheet1,72,全文阅读--XML全文阅读--中国知网 (cnki.net),https://kns.cnki.net/KXReader/Detail?invoice=Ze5jysWNmCyhq%2FexYlmtcpAx%2B4PZoYA8QHiPCLzN57bFYNocgmO%2BQeSE59FSeSlE0qdoD8bIifDGc3sttfB%2BZsUHg4hDrypqKsmiEreelDUxBhpT%2BVLqwIYQMHFcQ6lFzM%2F7PPUGyqYJ8Mh96B9xDP5WI%2BktVNUa1r%2FzQC6KtVg%3D&DBCODE=CJFD&FileName=KXTB200209003&TABLEName=cjfd2002&nonce=82914259E29348169BA2554D80D224E2&TIMESTAMP=1706847579275&uid=,kns.cnki.net,,,,yes,全文阅读--XML全文阅读--中国知网,,unresolved,none,unresolved
Sheet1,73,全文阅读--XML全文阅读--中国知网 (cnki.net),https://kns.cnki.net/KXReader/Detail?invoice=HOdonuYlt2Eo40ZoLG6%2BqkiLXcWK3juTeqHXxFQCx%2BybemIBKOw7BURWCEFzOHm8Tu2dkqvh%2BjVU2Nf0AV5uqcYFLJ%2FuOWGcNFdKVIRwG7Zavzu%2F3LyGLAy3Kx29iEfBcd4TNSbeLCkcBKdmSk5gmF0WuoTuEvfWqWn8iWEjDvo%3D&DBCODE=CJFQ&FileName=DQWX201202013&TABLEName=cjfdlast2022&nonce=EB7DC1933C2647178A4E441E6984B750&TIMESTAMP=1706847176207&uid=,kns.cnki.net,,,,yes,全文阅读--XML全文阅读--中国知网,,unresolved,none,unresolved
Sheet1,74,https://www.sciencedirect.com/science/article/pii/S0264817223003082,https://www.sciencedirect.com/science/article/pii/S0264817223003082,www.sciencedirect.com,,,S0264817223003082,yes,https://www.sciencedirect.com/science/article/pii/S0264817223003082,10.1016/j.marpetgeo.2023.106402,crossref_pii,high,found
